Link, Anchor Text
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c001/mm__02001026gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c001/mm__02001027.pdf", 27. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c001/mm__02001027gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002fih.pdf", 2. Cilt Fihristi
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002028.pdf", 28. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002028gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002029.pdf", 29. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002029gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002030.pdf", 30. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002030gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002031.pdf", 31. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002031gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002032.pdf", 32. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002032gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002033.pdf", 33. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002033gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002034.pdf", 34. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002034gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002035.pdf", 35. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002035gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002036.pdf", 36. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002036gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002037.pdf", 37. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002037gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002038.pdf", 38. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002038gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002039.pdf", 39. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002039gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002040.pdf", 40. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002040gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002041.pdf", 41. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002041gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002042.pdf", 42. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002042gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002043.pdf", 43. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002043gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002044.pdf", 44. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002044gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002045.pdf", 45. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c002/mm__02002045gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c003/mm__02003fih.pdf", 3. Cilt Fihristi
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c003/mm__02003046.pdf", 46. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c003/mm__02003046gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c003/mm__02003047.pdf", 47. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c003/mm__02003047gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c003/mm__02003048.pdf", 48. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c003/mm__02003048gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c003/mm__02003049.pdf", 49. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c003/mm__02003049gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c003/mm__02003050.pdf", 50. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c003/mm__02003050gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c004/mm__02004fih.pdf", 4. Cilt Fihristi
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c004/mm__02004051.pdf", 51. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c004/mm__02004051gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c004/mm__02004052.pdf", 52. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c004/mm__02004052gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c004/mm__02004053.pdf", 53. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c004/mm__02004053gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c004/mm__02004054.pdf", 54. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c004/mm__02004054gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c004/mm__02004055.pdf", 55. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c004/mm__02004055gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c004/mm__02004056.pdf", 56. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c004/mm__02004056gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c004/mm__02004057.pdf", 57. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c004/mm__02004057gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c004/mm__02004058.pdf", 58. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c004/mm__02004058gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c004/mm__02004059.pdf", 59. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c004/mm__02004059gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005fih.pdf", 5. Cilt Fihristi
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005060.pdf", 60. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005060gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005061.pdf", 61. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005061gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005062.pdf", 62. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005062gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005063.pdf", 63. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005063gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005064.pdf", 64. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005064gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005065.pdf", 65. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005065gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005066.pdf", 66. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005066gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005067.pdf", 67. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005067gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005068.pdf", 68. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005068gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005069.pdf", 69. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005069gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005070.pdf", 70. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005070gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005071.pdf", 71. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005071gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005072.pdf", 72. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005072gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005073.pdf", 73. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005073gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005074.pdf", 74. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005074gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005075.pdf", 75. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005075gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005076.pdf", 76. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005076gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005077.pdf", 77. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005077gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005078.pdf", 78. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005078gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005079.pdf", 79. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005079gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005080.pdf", 80. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c005/mm__02005080gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c006/mm__02006fih.pdf", 6. Cilt Fihristi
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c006/mm__02006081.pdf", 81. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c006/mm__02006081gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c006/mm__02006082.pdf", 82. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c006/mm__02006082gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c006/mm__02006083.pdf", 83. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c006/mm__02006083gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c006/mm__02006084.pdf", 84. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c006/mm__02006084gnd.pdf", Gündem
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c006/mm__02006085.pdf", 85. Birleşim
"https://www.tbmm.gov.tr/tutanaklar/TUTANAK/MM__/d02/c006/mm__02006085gnd.pdf", Gündem
